City ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
155,rangapara,91,IN,1603573354,95,26.82,92.65,70.93,6.08
157,quatre cocos,75,MU,1603573355,78,-20.21,57.76,73.4,11.41
158,seymchan,96,RU,1603573355,95,62.88,152.43,27.27,2.71
159,cockburn town,40,TC,1603573355,66,21.46,-71.14,86.0,13.87
160,morros,100,BR,1603573355,46,-9.45,-46.3,85.77,6.35
161,awjilah,0,LY,1603573355,67,29.11,21.29,66.4,12.03
162,saskylakh,100,RU,1603573355,94,71.92,114.08,14.67,22.08
163,kamennomostskoye,20,RU,1603573355,34,43.74,43.05,53.6,6.71
164,rawson,57,AR,1603573355,50,-43.3,-65.1,64.69,17.02
165,altamont,20,US,1603573180,47,42.21,-121.74,62.01,12.75
166,acarau,2,BR,1603573355,78,-2.89,-40.12,80.38,17.38
167,port alfred,11,ZA,1603573356,89,-33.59,26.89,65.8,4.27
168,sitka,40,US,1603573197,44,57.05,-135.33,41.0,0.69
169,tual,61,ID,1603573356,72,-5.67,132.75,82.67,4.63
170,kotlas,97,RU,1603573356,96,61.26,46.66,30.76,3.76
171,boddam,20,GB,1603573356,87,57.47,-1.78,48.2,5.82
172,tiksi,99,RU,1603573356,92,71.69,128.87,12.07,24.23
173,kuryk,66,KZ,1603573356,91,43.2,51.65,60.08,11.03
174,kalanguy,99,RU,1603573356,90,51.02,116.52,31.24,2.93
176,plettenberg bay,1,ZA,1603573263,89,-34.05,23.37,63.07,3.29
177,georgetown,40,MY,1603573357,94,5.41,100.34,77.0,3.36
178,bombo,89,ID,1603573357,84,-8.61,119.01,78.93,3.62
179,rio gallegos,75,AR,1603573352,93,-51.62,-69.22,44.6,9.17
180,norman wells,75,CA,1603573357,92,65.28,-126.83,21.2,4.7
181,faanui,45,PF,1603573357,74,-16.48,-151.75,79.14,7.54
182,bellevue,75,US,1603573060,45,47.61,-122.2,48.99,9.17
183,pahrump,95,US,1603573357,18,36.21,-115.98,81.0,5.01
184,saint anthony,75,US,1603573324,54,45.02,-93.22,32.0,6.93
185,taveta,20,KE,1603573357,69,-3.4,37.67,73.4,11.41
186,fukue,0,JP,1603573358,63,32.69,128.84,62.92,16.06
187,chokurdakh,100,RU,1603573358,97,70.63,147.92,16.84,7.23
188,nizhniy kuranakh,19,RU,1603573358,96,58.84,125.49,20.12,1.54
190,ilulissat,51,GL,1603573358,62,69.22,-51.1,23.0,4.7
191,zalantun,0,CN,1603573358,92,48.0,122.72,31.8,6.6
192,bogale,100,MM,1603573358,90,16.28,95.4,75.74,1.97
193,lavumisa,49,SZ,1603573358,85,-27.31,31.89,66.88,3.71
194,hobyo,94,SO,1603573358,80,5.35,48.53,79.16,15.99
196,guerrero negro,19,MX,1603573359,62,27.98,-114.06,73.22,17.07
197,yunyang,80,CN,1603573359,49,33.45,112.71,53.51,2.24
198,santa marta,100,CO,1603573084,86,11.24,-74.2,81.0,4.99
199,cabo san lucas,5,MX,1603573143,66,22.89,-109.91,90.0,9.17
200,chardara,0,KZ,1603573359,57,41.25,67.97,44.92,6.71
201,sept-iles,75,CA,1603573321,65,50.2,-66.38,44.6,10.29
202,ingham,75,US,1603573359,57,42.6,-84.38,45.0,5.82
203,el carmen,98,CO,1603573359,78,8.51,-73.45,77.77,2.91
204,rolla,90,US,1603573360,65,37.95,-91.77,46.99,6.93
205,taihe,100,CN,1603573360,65,30.87,105.38,65.26,4.36
206,beloha,100,MG,1603573208,84,-25.17,45.05,68.63,4.09
207,lieksa,96,FI,1603573145,81,63.32,30.02,36.95,13.04
208,bambous virieux,75,MU,1603573360,78,-20.34,57.76,73.4,11.41
209,sambava,19,MG,1603573283,83,-14.27,50.17,73.06,11.3
210,fairbanks,90,US,1603573278,92,64.84,-147.72,28.0,2.84
211,haines junction,100,CA,1603573360,74,60.75,-137.51,26.64,1.19
212,katherine,40,AU,1603573360,74,-14.47,132.27,78.8,6.96
213,pevek,0,RU,1603573360,92,69.7,170.31,26.29,12.71
214,pau dos ferros,82,BR,1603573361,39,-6.11,-38.21,89.38,11.79
215,morant bay,20,JM,1603573361,79,17.88,-76.41,86.0,28.86
216,saint-georges,40,GD,1603573361,70,12.06,-61.75,87.8,18.34
217,auki,12,SB,1603573361,75,-8.77,160.7,82.45,3.13
218,urusha,0,RU,1603573361,97,54.05,122.9,27.68,2.84
219,santa maria do suacui,100,BR,1603573361,88,-18.19,-42.41,70.72,1.63
220,lazaro cardenas,54,MX,1603573361,74,17.96,-102.2,85.69,9.17
222,lufkin,40,US,1603573257,67,31.34,-94.73,62.6,4.7
223,bonavista,100,CA,1603573362,86,48.65,-53.11,48.0,14.0
224,isangel,4,VU,1603573274,70,-19.55,169.27,77.72,11.97
225,maceio,20,BR,1603573362,78,-9.67,-35.74,78.8,12.75
226,villefranche-de-rouergue,0,FR,1603573362,93,44.33,2.0,50.0,2.24
227,maniitsoq,0,GL,1603573235,88,65.42,-52.9,23.97,10.94
228,port macquarie,50,AU,1603573362,99,-31.43,152.92,66.0,6.62
229,san vicente,79,AR,1603573362,98,-26.62,-54.13,63.61,3.18
230,bedesa,0,ET,1603573362,47,8.9,40.78,64.31,4.12
231,curup,100,ID,1603573362,89,-3.47,102.53,68.86,1.34
232,yagodnoye,89,RU,1603573235,95,62.55,149.67,26.53,2.35
233,san lorenzo,20,PY,1603573363,28,-25.33,-57.53,96.8,2.24
234,inuvik,75,CA,1603573363,58,68.35,-133.72,24.8,4.7
236,talara,6,PE,1603573286,75,-4.58,-81.27,66.56,15.61
237,zhezkazgan,84,KZ,1603573363,69,47.8,67.71,34.12,12.88
238,yaransk,95,RU,1603573363,89,57.3,47.89,38.23,7.27
239,mugla,0,TR,1603573363,88,37.23,28.36,69.8,2.24
240,dhidhdhoo,88,MV,1603573363,73,6.88,73.1,82.17,7.11
241,the pas,90,CA,1603573232,62,53.83,-101.25,24.8,11.41
243,omboue,100,GA,1603573364,86,-1.57,9.26,77.02,7.43
244,dingli,0,MT,1603573364,77,35.86,14.38,69.01,13.87
245,torbay,90,CA,1603573364,81,47.67,-52.73,48.99,23.04
246,oktyabrskiy,87,RU,1603573364,90,54.48,53.47,46.22,6.78
247,constitucion,100,CL,1603573364,76,-35.33,-72.42,56.89,18.03
249,malindi,77,KE,1603573364,82,-3.22,40.12,79.05,13.87
251,lamin,75,GM,1603573365,88,13.35,-16.43,82.4,4.7
252,dingle,92,PH,1603573365,89,11.0,122.67,74.14,2.15
254,richards bay,0,ZA,1603573365,81,-28.78,32.04,70.79,14.14
255,cidreira,84,BR,1603573365,87,-30.18,-50.21,69.64,12.66
256,fort nelson,5,CA,1603573365,49,58.81,-122.7,23.0,6.93
257,nantucket,90,US,1603573365,82,41.28,-70.1,62.6,10.29
258,carnarvon,75,AU,1603573365,100,-24.87,113.63,69.8,17.22
259,coihaique,40,CL,1603573365,41,-45.58,-72.07,59.0,4.7
260,aksu,29,CN,1603573366,45,41.12,80.26,45.57,2.68
261,sindal,100,DK,1603573366,90,57.47,10.2,52.0,5.99
262,vao,60,NC,1603573254,81,-22.67,167.48,73.04,13.89
263,troina,20,IT,1603573366,100,37.79,14.6,66.2,6.93
264,malanville,88,BJ,1603573366,27,11.87,3.39,81.68,3.56
265,longyearbyen,75,SJ,1603573366,85,78.22,15.64,19.4,2.24
266,mount isa,0,AU,1603573366,56,-20.73,139.5,68.0,8.05
267,praia da vitoria,75,PT,1603573366,93,38.73,-27.07,66.2,11.83
268,mount darwin,0,ZW,1603573366,37,-16.77,31.58,75.13,7.43
269,lasa,0,IT,1603573367,86,46.62,10.7,51.01,3.36
270,okha,5,RU,1603573367,91,53.57,142.95,40.19,2.84
272,pemangkat,100,ID,1603573367,85,1.17,108.97,77.56,4.97
273,chapais,90,CA,1603573367,80,49.78,-74.85,30.2,9.17
274,verkhnevilyuysk,29,RU,1603573367,95,63.45,120.32,19.09,5.79
275,zarubino,17,RU,1603573367,53,42.63,131.09,47.21,26.15
276,portland,75,US,1603573076,57,45.52,-122.68,51.01,18.34
277,cherskiy,4,RU,1603573367,93,68.75,161.3,17.04,5.48
278,bubaque,31,GW,1603573367,80,11.28,-15.83,83.14,11.41
279,tucuman,20,AR,1603573368,58,-26.82,-65.22,87.8,13.87
280,pacific grove,75,US,1603573093,63,36.62,-121.92,68.0,3.36
281,zhenlai,0,CN,1603573368,77,45.85,123.3,36.9,6.73
282,paamiut,18,GL,1603573368,86,61.99,-49.67,30.96,9.28
283,alexandria,20,EG,1603573368,64,31.22,29.96,71.6,2.24
284,zhigansk,100,RU,1603573368,96,66.77,123.37,21.04,23.29
285,george town,40,MY,1603573276,94,5.41,100.34,77.0,3.36
287,walvis bay,0,NA,1603573368,87,-22.96,14.51,57.99,5.82
288,piacabucu,8,BR,1603573368,76,-10.41,-36.43,77.5,10.51
289,makakilo city,1,US,1603573150,70,21.35,-158.09,84.2,10.29
291,lalitpur,20,NP,1603573369,93,27.67,85.33,59.0,2.24
292,dodola,1,ET,1603573369,75,6.98,39.18,49.86,3.22
293,san quintin,100,MX,1603573369,66,30.48,-115.95,69.76,13.91
294,sitio novo do tocantins,93,BR,1603573369,58,-5.52,-47.46,84.52,4.99
295,visavadar,13,IN,1603573369,65,21.38,70.68,77.09,2.82
297,iraan,0,US,1603573369,33,30.91,-101.9,72.0,3.0
298,khatanga,100,RU,1603573369,95,71.97,102.5,6.93,15.21
299,hami,86,CN,1603573370,52,42.8,93.45,46.51,8.57
300,pasni,0,PK,1603573326,31,25.26,63.47,77.31,27.98
301,quakenbruck,100,DE,1603573370,77,52.68,7.95,57.0,10.0
302,san andres,40,CO,1603573104,74,12.58,-81.7,87.8,5.82
303,honningsvag,100,NO,1603573370,84,70.98,25.97,39.52,18.37
304,lata,99,PT,1603573370,89,40.16,-8.33,63.0,1.99
305,belmonte,40,BR,1603573370,74,-15.86,-38.88,78.8,14.99
306,airai,6,TL,1603573370,100,-8.93,125.41,61.09,0.98
307,boo,89,SE,1603573298,93,59.33,18.28,39.99,8.05
308,saldanha,0,ZA,1603573228,87,-33.01,17.94,60.8,8.05
309,gillette,90,US,1603573371,85,44.29,-105.5,19.4,18.34
310,saurimo,24,AO,1603573371,91,-9.66,20.39,66.54,2.1
311,nicoya,40,CR,1603573204,78,10.15,-85.45,82.4,10.29
312,boma,100,GH,1603573371,82,7.08,-2.17,74.59,1.88
313,anadyr,75,RU,1603573074,100,64.75,177.48,19.4,2.24
314,yulara,0,AU,1603573371,47,-25.24,130.99,59.0,11.41
315,kailua,40,US,1603573371,78,21.4,-157.74,82.4,10.29
316,smirnykh,100,RU,1603573371,92,49.75,142.83,39.79,4.21
317,tay ninh,99,VN,1603573371,91,11.3,106.1,75.63,4.03
318,jind,0,IN,1603573371,22,29.32,76.32,71.44,3.13
319,avera,40,US,1603573372,58,33.19,-82.53,82.4,3.36
320,ostrovnoy,100,RU,1603573372,98,68.05,39.51,31.77,11.18
321,ojinaga,1,MX,1603573372,29,29.57,-104.42,81.0,4.7
322,olafsvik,100,IS,1603573372,75,64.89,-23.71,41.56,42.97
323,mayumba,99,GA,1603573372,88,-3.43,10.66,77.14,8.72
324,lavrentiya,59,RU,1603573372,88,65.58,-171.0,33.3,7.2
325,poronaysk,100,RU,1603573372,85,49.22,143.12,42.46,6.02
326,ancud,75,CL,1603573221,87,-41.87,-73.82,51.01,10.29
327,whitehorse,75,CA,1603573313,72,60.72,-135.05,19.0,14.99
328,marsh harbour,94,BS,1603573372,79,26.54,-77.06,80.38,12.57
329,sibolga,100,ID,1603573373,80,1.74,98.78,76.96,2.57
330,kirakira,1,SB,1603573373,77,-10.45,161.92,82.29,6.91
331,sabro,100,DK,1603573373,87,56.21,10.03,53.6,8.05
332,bandarbeyla,79,SO,1603573373,81,9.49,50.81,76.35,6.24
333,lincoln,90,US,1603573169,64,40.8,-96.67,35.6,9.17
334,north battleford,90,CA,1603573298,57,52.78,-108.28,21.2,12.75
